DIA;VDA_CMV
30/12/2015;19633,9
31/12/2015;32068,96
02/01/2016;10359,32
03/01/2016;2751,08
04/01/2016;2546,59
05/01/2016;3099,94
06/01/2016;3918,71
07/01/2016;3857,15
08/01/2016;9222,59
09/01/2016;13397,71
10/01/2016;4544,92
11/01/2016;2670,59
12/01/2016;2956,27
13/01/2016;3186,88
14/01/2016;3924,13
15/01/2016;7203,62
16/01/2016;11340,21
17/01/2016;3694,38
18/01/2016;3014,48
19/01/2016;2978
20/01/2016;4861,02
21/01/2016;3743,27
22/01/2016;6890,93
23/01/2016;13375,48
24/01/2016;4095,07
25/01/2016;2481,78
26/01/2016;2863,18
27/01/2016;3029,61
28/01/2016;3741,74
29/01/2016;9154,18
30/01/2016;14306,78
31/01/2016;4739,44
01/02/2016;2824,03
02/02/2016;3844,87
03/02/2016;4845,81
04/02/2016;8734,7
05/02/2016;14920,52
06/02/2016;18660,2
07/02/2016;7823,58
08/02/2016;10743,72
09/02/2016;4414,4
10/02/2016;5118
11/02/2016;6873,87
12/02/2016;9706,19
13/02/2016;12638,08
14/02/2016;4672,94
15/02/2016;2562,33
16/02/2016;2856,59
17/02/2016;2575,79
18/02/2016;3514,49
19/02/2016;6800,55
20/02/2016;14078,84
21/02/2016;5122,23
22/02/2016;2088,95
23/02/2016;2859,32
24/02/2016;2534,31
25/02/2016;4641,54
26/02/2016;7646,47
27/02/2016;12370,93
28/02/2016;4036,78
29/02/2016;3564,22
01/03/2016;2200,71
02/03/2016;3979,47
03/03/2016;3311,96
04/03/2016;7318,18
05/03/2016;14382,68
06/03/2016;3911,47
07/03/2016;2447,59
08/03/2016;2850,12
09/03/2016;2978,19
10/03/2016;4222,97
11/03/2016;6866,25
12/03/2016;11439,18
13/03/2016;4724,45
14/03/2016;1844,42
15/03/2016;2017,18
16/03/2016;2820,43
17/03/2016;3044,02
18/03/2016;9164,69
19/03/2016;12900,91
20/03/2016;4763,25
21/03/2016;2110,98
22/03/2016;2972,88
23/03/2016;5318,74
24/03/2016;15191,83
26/03/2016;25228,69
27/03/2016;4798,76
28/03/2016;1217,48
29/03/2016;2323,45
30/03/2016;2976,95
31/03/2016;3522,14
01/04/2016;7484,11
02/04/2016;10722,34
03/04/2016;3632,07
04/04/2016;2309,1
05/04/2016;3471,28
06/04/2016;3645,64
07/04/2016;4857,26
08/04/2016;8906,47
09/04/2016;11968,5
10/04/2016;4891,74
11/04/2016;2193,97
12/04/2016;2692,38
13/04/2016;4419,7
14/04/2016;4861,43
15/04/2016;9386,49
16/04/2016;11688,87
17/04/2016;4292,17
18/04/2016;2895,17
19/04/2016;3210,53
20/04/2016;8363,42
21/04/2016;5064,42
22/04/2016;10831,31
23/04/2016;12658,33
24/04/2016;4171,91
25/04/2016;2738,74
26/04/2016;2157,45
27/04/2016;2231,28
28/04/2016;3832,17
29/04/2016;7029,45
30/04/2016;8793,9
01/05/2016;2910,17
02/05/2016;2071,33
03/05/2016;2248,33
04/05/2016;2232,66
05/05/2016;3849,36
06/05/2016;7152,49
07/05/2016;14761,06
08/05/2016;6994,56
09/05/2016;1786,37
10/05/2016;2018,67
11/05/2016;2725,67
12/05/2016;4803,77
13/05/2016;4560,41
14/05/2016;9953,79
15/05/2016;3866,54
16/05/2016;1917,15
17/05/2016;2930,78
18/05/2016;2542,28
19/05/2016;3046,24
20/05/2016;5959,21
21/05/2016;11227,42
22/05/2016;3964,72
23/05/2016;1606,45
24/05/2016;2034,2
25/05/2016;9132,97
26/05/2016;5588,06
27/05/2016;11385,97
28/05/2016;12488,74
29/05/2016;4191,16
30/05/2016;3742,23
31/05/2016;4532,04
01/06/2016;2861,26
02/06/2016;2570,45
03/06/2016;6803,38
04/06/2016;11044,25
05/06/2016;3489,18
06/06/2016;2307,37
07/06/2016;2994,4
08/06/2016;2460,97
09/06/2016;3579,53
10/06/2016;5433,93
11/06/2016;8562,18
12/06/2016;3097,93
13/06/2016;1657,4
14/06/2016;1340,35
15/06/2016;2142,73
16/06/2016;2651,35
17/06/2016;9009,48
18/06/2016;14467,29
19/06/2016;3026,61
20/06/2016;1828,54
21/06/2016;1450,65
22/06/2016;2356,32
23/06/2016;2522,25
24/06/2016;6737,5
25/06/2016;10964,43
26/06/2016;4057,28
27/06/2016;1797,4
28/06/2016;1948,2
29/06/2016;2829,88
30/06/2016;3794,69
01/07/2016;14199,94
02/07/2016;17819,36
03/07/2016;5952,72
04/07/2016;2521,53
05/07/2016;2674,43
06/07/2016;2809,9
07/07/2016;7119,63
08/07/2016;9652,96
09/07/2016;16256,29
10/07/2016;7204,67
11/07/2016;4890,67
12/07/2016;3644,07
13/07/2016;4437,2
14/07/2016;6205,34
15/07/2016;8641,75
16/07/2016;11532,18
17/07/2016;4592,24
18/07/2016;3056,17
19/07/2016;2338,21
20/07/2016;4941,31
21/07/2016;4977,59
22/07/2016;10274,42
23/07/2016;14106,11
24/07/2016;4685,08
25/07/2016;3934,46
26/07/2016;5137,63
27/07/2016;2776,65
28/07/2016;3610,92
29/07/2016;7714,61
30/07/2016;11381,99
31/07/2016;4175,22
01/08/2016;2333,19
02/08/2016;2754,46
03/08/2016;5451,8
04/08/2016;5908,64
05/08/2016;9058,38
06/08/2016;13645,73
07/08/2016;4507,38
08/08/2016;4757,45
09/08/2016;3627,46
10/08/2016;6931,29
11/08/2016;10521,15
12/08/2016;8263,32
13/08/2016;15134,64
14/08/2016;5931,47
15/08/2016;2372,11
16/08/2016;3258,22
17/08/2016;3204,63
18/08/2016;4839,99
19/08/2016;9220,28
20/08/2016;11005,78
21/08/2016;3880,27
